pc6,bouwjaar,woningtype,epi_imputed
1951EV,1950,meergezinspand_laag_midden,2.14
1951HD,1924,tussenwoning,1.785
1951KH,1975,meergezinspand_laag_midden,1.451
1951XL,1948,tussenwoning,0.938
1951XL,1948,twee_onder_1_kap,1.2
1951XM,1949,tussenwoning,0.938
1951XS,1949,tussenwoning,0.938
1961GC,1953,tussenwoning,1.785
1962AD,1976,tussenwoning,1.451
1962HJ,1984,meergezinspand_laag_midden,1.451
1962HM,2006,tussenwoning,0.938
1962RL,1959,tussenwoning,1.785
1962SC,1967,meergezinspand_laag_midden,1.451
1962TS,1963,tussenwoning,1.785
1962XE,2015,tussenwoning,0.938
1963EP,1987,tussenwoning,1.24
1963JA,1995,meergezinspand_hoog,1.54
1963KH,1969,meergezinspand_hoog,1.451
1964HC,1963,meergezinspand_hoog,1.451
1964HD,1963,meergezinspand_hoog,1.785
1964HL,1968,meergezinspand_hoog,1.451
1964HT,1968,meergezinspand_hoog,1.451
1964LD,1988,hoekwoning,1.2
1964LH,1989,tussenwoning,0.938
1964NM,1949,hoekwoning,2.612
1964PC,1992,tussenwoning,0.938
1964RP,1965,meergezinspand_hoog,2.612
1964SH,1964,hoekwoning,1.451
1964TL,1962,hoekwoning,0.938
1965AD,1980,hoekwoning,1.785
1965BK,1980,tussenwoning,1.2
1965SP,1998,tussenwoning,1.2
1966MR,1970,meergezinspand_hoog,2.184
1966MV,1970,meergezinspand_hoog,2.184
1966MV,1970,meergezinspand_hoog,2.184
1966NB,1971,meergezinspand_hoog,2.184
1966SW,1980,meergezinspand_hoog,2.184
1966WE,1966,meergezinspand_hoog,2.184
1966WJ,1976,meergezinspand_hoog,1.451
1966WS,1961,meergezinspand_hoog,1.451
1966WW,2014,tussenwoning,0.938
1967GA,2006,tussenwoning,0.938
1967GG,2005,twee_onder_1_kap,0.938
1967JH,2006,tussenwoning,0.938
1967JJ,2005,meergezinspand_laag_midden,0.99
1967NC,2003,meergezinspand_hoog,0.938
1971AA,1914,tussenwoning,2.612
1971GN,1951,meergezinspand_laag_midden,1.2
1971HN,1940,twee_onder_1_kap,2.84
1971JN,1955,meergezinspand_laag_midden,1.785
1971KE,1927,tussenwoning,2.612
1971KE,1927,tussenwoning,2.184
1971KG,1929,tussenwoning,2.612
1971KX,1927,tussenwoning,1.785
1971PA,1987,meergezinspand_hoog,1.68
1972CB,1920,tussenwoning,1.451
1972CG,1926,hoekwoning,2.184
1972DH,1920,hoekwoning,1.785
1972GV,1954,meergezinspand_laag_midden,1.451
1972RW,1949,tussenwoning,1.785
1972SE,1949,hoekwoning,1.785
1972VV,2020,meergezinspand_laag_midden,0.938
1972WD,1952,tussenwoning,1.451
1972XB,1953,meergezinspand_laag_midden,1.785
1973BJ,1958,meergezinspand_hoog,1.451
1973RN,1954,tussenwoning,0.938
1973XP,1960,meergezinspand_hoog,1.451
1973ZM,1957,meergezinspand_hoog,2.184
1973ZP,1999,meergezinspand_laag_midden,0.938
1974AH,1965,meergezinspand_hoog,1.451
1974LB,1969,meergezinspand_hoog,1.451
1974LE,1969,meergezinspand_hoog,1.785
1974LN,1973,meergezinspand_laag_midden,1.2
1974SP,1973,meergezinspand_laag_midden,1.2
1974SW,1973,meergezinspand_laag_midden,1.451
1974TH,1965,meergezinspand_laag_midden,1.451
1974TS,1975,meergezinspand_laag_midden,1.785
1975BB,1905,meergezinspand_laag_midden,0.938
1975BP,2017,meergezinspand_laag_midden,0.938
1975DC,2012,meergezinspand_hoog,0.938
1975DG,2011,meergezinspand_laag_midden,0.938
1975DJ,2017,tussenwoning,0.938
1975DT,1976,meergezinspand_laag_midden,2.184
1975ED,2017,tussenwoning,0.938
1981AG,1968,tussenwoning,1.451
1981BC,1734,tussenwoning,1.785
1985CS,1970,meergezinspand_laag_midden,2.184
1985GH,1934,twee_onder_1_kap,3.237
1991BJ,1988,tussenwoning,1.2
1991GH,1989,meergezinspand_hoog,1.451
1991HL,1990,tussenwoning,1.2
1991KP,1990,hoekwoning,1.451
1991NL,1991,tussenwoning,1.32
1991PG,1989,meergezinspand_laag_midden,0.938
1991RA,1990,meergezinspand_hoog,1.2
1991SJ,1992,tussenwoning,0.938
1991SL,1992,tussenwoning,1.28
1991VA,1993,tussenwoning,1.2
1991XJ,1995,tussenwoning,1.22
2011BV,1906,meergezinspand_laag_midden,2.184
2011CM,2000,meergezinspand_laag_midden,1.2
2011CR,1910,meergezinspand_laag_midden,1.2
2011DE,1880,meergezinspand_laag_midden,1.04
2011GE,1600,tussenwoning,1.785
2011HH,1610,tussenwoning,2.184
2011JL,1990,meergezinspand_laag_midden,1.451
2011JT,1890,meergezinspand_hoog,2.184
2011JZ,1880,tussenwoning,2.612
2011KH,1885,meergezinspand_laag_midden,2.184
2011KM,1900,meergezinspand_laag_midden,1.785
2011NH,1980,meergezinspand_laag_midden,1.79
2011NS,1885,meergezinspand_laag_midden,1.785
2011PV,1890,meergezinspand_laag_midden,0.938
2011SL,1900,meergezinspand_hoog,1.451
2011SN,1880,meergezinspand_hoog,3.237
2011VT,1910,tussenwoning,1.451
2012AB,1985,meergezinspand_laag_midden,1.451
2012AH,1898,tussenwoning,2.612
2012BX,2009,meergezinspand_hoog,1.27
2012CJ,1985,meergezinspand_laag_midden,1.451
2012DS,1930,meergezinspand_hoog,3.237
2012GH,1910,tussenwoning,2.612
2012HT,1986,meergezinspand_hoog,1.451
2012JD,1913,meergezinspand_laag_midden,1.785
2012JL,1923,meergezinspand_laag_midden,0.938
2012PE,1933,vrijstaand,3.237
2012WS,2019,meergezinspand_laag_midden,0.938
2013BK,1893,meergezinspand_laag_midden,2.184
2013ES,1908,tussenwoning,1.785
2013RH,1890,tussenwoning,0.938
2014AT,1936,hoekwoning,3.237
2014CB,1950,tussenwoning,2.184
2014DC,1940,hoekwoning,2.612
2014HV,2017,meergezinspand_hoog,0.938
2014JB,1900,tussenwoning,3.237
2014RC,1928,tussenwoning,2.184
2014XJ,1956,meergezinspand_laag_midden,0.938
2015CL,1970,meergezinspand_hoog,1.44
2015HM,1918,tussenwoning,1.451
2015JN,1923,hoekwoning,2.184
2021BD,1906,meergezinspand_laag_midden,1.451
2021BG,1952,meergezinspand_laag_midden,1.785
2021DD,1923,tussenwoning,1.97
2021GA,1900,meergezinspand_hoog,2.184
2021GA,1900,meergezinspand_hoog,1.451
2021HP,1906,meergezinspand_laag_midden,1.785
2021HT,1906,meergezinspand_laag_midden,1.785
2021JJ,1906,tussenwoning,2.612
2021TR,1910,meergezinspand_laag_midden,0.938
2021VB,1906,tussenwoning,2.612
2021XN,1906,meergezinspand_laag_midden,2.184
2022CN,1999,meergezinspand_laag_midden,1.451
2022DP,1952,meergezinspand_laag_midden,1.451
2022ED,2012,meergezinspand_hoog,0.938
2022EG,1990,meergezinspand_laag_midden,1.451
2022GA,2010,meergezinspand_laag_midden,0.938
2022TV,1932,tussenwoning,1.451
2023AC,1908,hoekwoning,3.237
2023EA,1910,hoekwoning,3.237
2023NR,1931,hoekwoning,3.237
2023TD,1921,tussenwoning,2.184
2023TD,1921,tussenwoning,2.184
2023WN,1926,tussenwoning,2.612
2023XV,2013,meergezinspand_laag_midden,1.0
2024BJ,1958,meergezinspand_laag_midden,1.785
2024DT,1931,tussenwoning,1.451
2024HM,1956,meergezinspand_laag_midden,2.184
2024JR,1957,meergezinspand_laag_midden,2.184
2024JV,1959,meergezinspand_laag_midden,1.785
2024KJ,1957,meergezinspand_hoog,1.785
2024RJ,1930,tussenwoning,2.612
2024TJ,1938,tussenwoning,2.184
2025AD,1938,meergezinspand_laag_midden,1.785
2025EM,2012,meergezinspand_hoog,0.938
2025EM,2012,meergezinspand_hoog,0.938
2025EP,2016,meergezinspand_laag_midden,0.938
2025EP,2016,meergezinspand_laag_midden,0.938
2025GP,2011,tussenwoning,1.01
2025LS,1978,meergezinspand_hoog,2.184
2025LT,1978,meergezinspand_hoog,1.785
2025MC,1938,tussenwoning,2.184
2025MP,1957,meergezinspand_hoog,0.938
2025NG,1956,meergezinspand_hoog,2.81
2025NN,1957,tussenwoning,1.785
2025PC,1930,tussenwoning,3.237
2025RA,1936,tussenwoning,2.184
2025RV,1930,tussenwoning,2.612
2025TE,1927,hoekwoning,3.237
2025TH,1952,tussenwoning,1.785
2025XA,1931,tussenwoning,2.612
2025ZM,1933,tussenwoning,1.785
2026AS,1952,meergezinspand_laag_midden,1.451
2026BK,1914,hoekwoning,3.237
2026RK,2004,meergezinspand_hoog,1.2
2026SW,1969,meergezinspand_laag_midden,2.184
2026SZ,1989,hoekwoning,1.23
2026XN,1952,meergezinspand_laag_midden,1.451
2032PZ,1888,tussenwoning,1.785
2032EE,2007,meergezinspand_hoog,0.938
2032GJ,1952,meergezinspand_laag_midden,1.451
2032HG,1952,meergezinspand_laag_midden,1.451
2032HH,1952,tussenwoning,1.11
2032KA,1990,tussenwoning,1.2
2032LR,1906,tussenwoning,1.785
2032NB,1911,meergezinspand_laag_midden,0.938
2032NJ,1899,tussenwoning,1.785
2032NV,1987,meergezinspand_laag_midden,0.938
2032PE,1999,tussenwoning,1.2
2032PZ,1888,tussenwoning,0.938
2032RZ,1936,meergezinspand_laag_midden,2.612
2032ZE,2011,meergezinspand_hoog,0.938
2032ZP,1920,tussenwoning,1.451
2033CG,1990,hoekwoning,0.938
2033DA,2013,tussenwoning,0.938
2033ED,1926,meergezinspand_laag_midden,1.451
2033GB,1922,tussenwoning,0.938
2033HG,1929,meergezinspand_laag_midden,2.612
2033HL,2007,meergezinspand_laag_midden,0.99
2033JC,1928,meergezinspand_laag_midden,1.785
2033LX,1924,tussenwoning,1.82
2033MV,2014,meergezinspand_hoog,0.938
2033MZ,2014,meergezinspand_hoog,0.938
2033NE,1927,meergezinspand_laag_midden,1.62
2033NG,1927,meergezinspand_laag_midden,1.63
2033RA,2018,meergezinspand_laag_midden,0.938
2033TB,2005,meergezinspand_hoog,1.451
2033TH,1968,meergezinspand_hoog,1.451
2033TK,1968,meergezinspand_hoog,1.2
2033WK,2014,meergezinspand_hoog,0.938
2033XB,1959,meergezinspand_hoog,2.52
2034BV,2004,meergezinspand_laag_midden,0.938
2034BZ,1980,meergezinspand_hoog,1.451
2034CH,1969,meergezinspand_hoog,2.02
2034EB,1966,hoekwoning,0.938
2034GM,1970,meergezinspand_hoog,1.451
2034GT,1974,meergezinspand_hoog,1.451
2034PA,1961,meergezinspand_laag_midden,1.2
2034RM,2009,meergezinspand_laag_midden,1.25
2034RM,2008,meergezinspand_hoog,0.938
2034RZ,2018,hoekwoning,0.938
2034XK,1962,meergezinspand_hoog,1.451
2035EK,1964,tussenwoning,2.612
2035EK,1965,tussenwoning,1.785
2035ES,1964,meergezinspand_hoog,2.612
2035SC,1965,meergezinspand_hoog,1.451
2035TA,1966,meergezinspand_hoog,1.15
2035TB,1966,meergezinspand_hoog,1.21
2035TE,1966,meergezinspand_hoog,1.17
2035TK,2018,hoekwoning,0.938
2035VM,1969,meergezinspand_hoog,1.451
2035VS,1987,meergezinspand_hoog,0.938
2035XC,2004,tussenwoning,1.2
2035XL,1967,meergezinspand_hoog,2.184
2036BJ,1977,tussenwoning,1.2
2036EZ,1983,meergezinspand_hoog,1.451
2036HN,1980,tussenwoning,1.2
2036JC,1977,hoekwoning,1.451
2036KD,1971,meergezinspand_hoog,3.237
2036NA,1971,meergezinspand_laag_midden,2.07
2036TC,1982,meergezinspand_hoog,1.8
2037AN,1973,meergezinspand_hoog,2.612
2037GC,1967,meergezinspand_laag_midden,2.3
2037GC,1967,meergezinspand_laag_midden,2.45
2037GJ,1967,tussenwoning,1.62
2037JC,1968,meergezinspand_laag_midden,1.451
2037JJ,1968,tussenwoning,1.44
2037KR,1969,meergezinspand_hoog,1.451
2037KS,1969,meergezinspand_hoog,1.451
2037LA,1973,tussenwoning,1.451
2037LC,1968,meergezinspand_laag_midden,0.938
2037LP,1973,tussenwoning,1.451
2037PE,1971,meergezinspand_hoog,2.184
2037RC,1969,meergezinspand_laag_midden,1.785
2037RK,1968,meergezinspand_laag_midden,0.938
2037RT,1971,meergezinspand_hoog,2.184
2037TN,1987,tussenwoning,1.38
2037XK,1970,meergezinspand_hoog,1.785
2037XN,1974,meergezinspand_hoog,1.785
2041GB,1998,hoekwoning,0.938
2041HJ,1959,meergezinspand_hoog,2.184
2041LL,1957,meergezinspand_hoog,1.451
2041NC,1964,tussenwoning,1.785
2041SG,1976,meergezinspand_hoog,1.785
2042GJ,1980,meergezinspand_hoog,1.785
2042LC,1984,meergezinspand_hoog,1.3
2042NE,1904,tussenwoning,3.237
2042PT,2015,tussenwoning,0.938
2042VC,1903,tussenwoning,1.451
2051EG,1947,tussenwoning,2.05
2042XR,1989,meergezinspand_laag_midden,1.2
2051GM,1850,hoekwoning,2.612
2051HT,1925,tussenwoning,2.612
2051JK,1955,hoekwoning,2.184
2051KM,1998,hoekwoning,0.938
2061DJ,2011,meergezinspand_laag_midden,0.938
2061JG,1951,hoekwoning,1.2
2061VL,1950,meergezinspand_laag_midden,1.17
2064KZ,1991,vrijstaand,1.2
2064WG,1983,tussenwoning,1.2
2064XB,1970,tussenwoning,1.2
2071AS,1933,tussenwoning,2.612
2071BK,1967,meergezinspand_laag_midden,1.2
2071EC,1932,tussenwoning,2.612
2071NN,1903,hoekwoning,1.451
2071TD,2016,meergezinspand_laag_midden,0.938
2101PJ,2006,meergezinspand_laag_midden,0.99
2082EE,1969,meergezinspand_laag_midden,1.69
2082VJ,1936,tussenwoning,2.184
2101BR,1929,tussenwoning,2.184
2101CD,1993,tussenwoning,0.938
2101RG,1936,tussenwoning,1.785
2101TR,1967,meergezinspand_hoog,2.184
2101WJ,1914,tussenwoning,2.07
2102CR,1974,tussenwoning,2.184
2103SB,1910,tussenwoning,2.612
2103SM,1922,hoekwoning,3.18
2103VD,1927,tussenwoning,1.785
2103VS,1922,twee_onder_1_kap,3.237
2103XM,1955,tussenwoning,0.938
2105SN,1973,hoekwoning,1.54
2103XX,1986,meergezinspand_laag_midden,0.938
2104AL,1926,meergezinspand_laag_midden,3.237
2104BB,1965,twee_onder_1_kap,1.451
2104BJ,1966,tussenwoning,1.451
2105RE,1973,tussenwoning,1.785
2105RJ,1974,meergezinspand_laag_midden,2.0
2105TB,1979,meergezinspand_laag_midden,1.451
2106AX,1938,tussenwoning,1.2
2111HH,1999,meergezinspand_laag_midden,1.2
2111TM,1985,tussenwoning,1.451
2111VS,1953,tussenwoning,1.47
2114CK,1921,twee_onder_1_kap,2.58
2114CR,1980,tussenwoning,1.26
2114DX,1986,tussenwoning,1.451
2121AK,1996,vrijstaand,1.2
2121BM,1950,vrijstaand,2.184
2121CB,1930,tussenwoning,2.612
2121GT,1900,tussenwoning,1.785
2121VB,1965,hoekwoning,2.14
2121XH,1969,tussenwoning,1.2
2131SK,1976,tussenwoning,1.451
2131SM,1975,hoekwoning,1.451
2131SN,1975,tussenwoning,1.451
2131SP,1975,tussenwoning,1.451
2131VL,1975,meergezinspand_hoog,0.938
2131VM,1975,meergezinspand_hoog,0.938
2131WP,2009,meergezinspand_laag_midden,1.451
2131WP,2009,meergezinspand_laag_midden,1.451
2131XK,2008,tussenwoning,0.938
2131ZB,1990,meergezinspand_laag_midden,1.2
2132AA,1964,tussenwoning,1.451
2132AV,1988,meergezinspand_laag_midden,0.938
2132AX,2004,meergezinspand_hoog,0.938
2132BH,2017,meergezinspand_laag_midden,0.938
2132BH,2005,meergezinspand_hoog,1.2
2132BT,1975,meergezinspand_laag_midden,0.938
2132CJ,2001,meergezinspand_laag_midden,1.2
2132EK,1973,tussenwoning,1.785
2132ET,1973,tussenwoning,1.451
2132KR,1993,tussenwoning,0.938
2132LJ,1995,meergezinspand_hoog,0.938
2132RP,2020,meergezinspand_laag_midden,0.938
2132SJ,2016,meergezinspand_laag_midden,0.938
2132VV,1972,meergezinspand_hoog,0.938
2132VV,1972,meergezinspand_hoog,0.938
2132WC,1972,meergezinspand_hoog,0.938
2132WD,1972,meergezinspand_hoog,0.938
2133CX,1978,tussenwoning,1.451
2133HL,1981,tussenwoning,1.451
2133JL,1982,hoekwoning,1.451
2133KP,1982,meergezinspand_laag_midden,1.785
2134AD,2007,meergezinspand_hoog,0.938
2134AH,2006,tussenwoning,0.938
2134BP,2005,tussenwoning,0.938
2134BP,2005,tussenwoning,0.938
2134CP,2005,meergezinspand_laag_midden,0.938
2134CS,2005,meergezinspand_hoog,0.938
2134DV,2007,tussenwoning,0.938
2134ER,1987,tussenwoning,1.451
2134LM,2007,twee_onder_1_kap,0.938
2134LN,2007,tussenwoning,0.938
2134LN,2007,tussenwoning,0.938
2134PL,1985,tussenwoning,1.451
2134PT,1983,meergezinspand_laag_midden,0.938
2134SL,1987,meergezinspand_hoog,1.451
2134TE,1983,tussenwoning,1.2
2134TH,1983,meergezinspand_laag_midden,1.451
2134VC,1986,hoekwoning,1.451
2134WR,2003,meergezinspand_hoog,1.2
2134XG,2004,tussenwoning,0.938
2134XM,2002,hoekwoning,0.938
2134ZK,2001,vrijstaand,0.938
2134ZS,2001,meergezinspand_laag_midden,0.938
2135CH,1988,tussenwoning,1.451
2135EE,1989,hoekwoning,1.451
2135GE,1995,tussenwoning,1.2
2135HZ,1993,tussenwoning,1.2
2135KN,1994,meergezinspand_hoog,1.451
2135NA,1991,meergezinspand_laag_midden,0.938
2135NB,1992,tussenwoning,0.938
2135ND,1991,meergezinspand_laag_midden,1.2
2135NP,1992,hoekwoning,0.938
2135RA,1991,tussenwoning,1.2
2135RK,1993,hoekwoning,1.2
2135RV,1993,hoekwoning,1.2
2135RZ,1994,tussenwoning,1.2
2135TA,1996,hoekwoning,0.938
2151TK,1974,meergezinspand_hoog,0.98
2141AT,2019,tussenwoning,0.938
2141EC,1910,twee_onder_1_kap,1.451
2141MX,2010,twee_onder_1_kap,0.938
2141MZ,2003,tussenwoning,0.938
2141NA,2002,tussenwoning,0.938
2151AJ,2011,tussenwoning,0.938
2151BZ,1994,meergezinspand_laag_midden,1.2
2151HM,1999,tussenwoning,0.938
2151LE,2002,tussenwoning,0.938
2151NA,2002,meergezinspand_hoog,0.938
2151TG,1974,meergezinspand_hoog,1.2
2151TL,1974,meergezinspand_hoog,0.91
2151VC,1971,tussenwoning,1.451
2151WC,1973,hoekwoning,1.2
2151ZC,1972,tussenwoning,1.451
2152AE,1974,meergezinspand_laag_midden,2.184
2152AH,1976,meergezinspand_laag_midden,2.184
2152CE,1962,hoekwoning,1.451
2152DE,2003,tussenwoning,0.938
2152EE,2003,hoekwoning,0.938
2152HB,2003,vrijstaand,0.938
2152HG,2003,meergezinspand_laag_midden,0.938
2152HM,2002,tussenwoning,0.938
2152KH,2013,meergezinspand_laag_midden,0.938
2152KH,2009,meergezinspand_laag_midden,0.938
2152KJ,2008,vrijstaand,0.938
2152LA,1985,hoekwoning,1.2
2152SK,2006,meergezinspand_hoog,0.938
2153AL,1965,tussenwoning,1.451
2153AV,1965,tussenwoning,1.451
2153BM,1990,meergezinspand_laag_midden,1.451
2153BM,1990,meergezinspand_laag_midden,1.451
2153BW,1965,tussenwoning,1.785
2153CP,1988,hoekwoning,1.2
2153KB,1900,meergezinspand_laag_midden,1.451
2157NP,1961,tussenwoning,1.93
2159LK,1992,tussenwoning,1.2
2161BD,2015,meergezinspand_laag_midden,0.938
2161DD,1925,meergezinspand_laag_midden,2.184
2161DV,2014,meergezinspand_laag_midden,0.938
2161EH,1973,meergezinspand_laag_midden,1.45
2161EL,1976,meergezinspand_laag_midden,1.451
2161JN,1977,meergezinspand_laag_midden,1.2
2161RG,2004,meergezinspand_laag_midden,0.938
2161XB,1953,meergezinspand_laag_midden,2.184
2161XK,1958,tussenwoning,0.938
2161XL,1958,hoekwoning,2.184
2162BC,1968,meergezinspand_hoog,2.184
2162BT,1970,hoekwoning,0.938
2162CE,1969,tussenwoning,1.451
2162GA,1997,tussenwoning,1.2
2162GG,1966,tussenwoning,0.938
2162LX,2005,meergezinspand_hoog,1.2
2163KB,1987,tussenwoning,1.451
2163KK,1988,hoekwoning,1.451
2165AD,2003,hoekwoning,1.2
2165CG,2002,hoekwoning,0.938
2165XW,1986,meergezinspand_laag_midden,1.2
2171AD,2000,meergezinspand_hoog,1.451
2171CK,1951,meergezinspand_laag_midden,2.184
2171CN,1921,tussenwoning,3.237
2171DJ,1981,tussenwoning,1.451
2171HB,1923,twee_onder_1_kap,1.785
2171JC,1991,meergezinspand_hoog,1.785
2171KB,1983,meergezinspand_laag_midden,1.451
2171KT,2012,meergezinspand_laag_midden,0.938
2171PT,1991,hoekwoning,1.451
2171SB,2002,meergezinspand_laag_midden,1.2
2171VH,1962,meergezinspand_laag_midden,2.184
2171VL,1965,meergezinspand_laag_midden,1.451
2172BK,1967,meergezinspand_hoog,2.184
2172SK,2001,meergezinspand_laag_midden,1.2
2172TC,1967,tussenwoning,1.451
2181AR,1925,vrijstaand,2.612
2181BR,1920,meergezinspand_laag_midden,1.451
2181CN,1948,hoekwoning,1.2
2181CN,1948,tussenwoning,1.2
2181CR,1915,tussenwoning,2.612
2181ED,1930,meergezinspand_laag_midden,1.785
2181EG,1964,hoekwoning,2.612
2181EH,1920,vrijstaand,3.237
2181HE,1980,meergezinspand_laag_midden,1.2
2181NA,2017,twee_onder_1_kap,0.938
2181NG,2017,tussenwoning,0.938
2181TE,1958,hoekwoning,1.451
2181VS,1976,twee_onder_1_kap,1.2
2181XC,1968,tussenwoning,1.451
2182AK,2015,hoekwoning,0.938
2182BA,1985,hoekwoning,1.56
2182EV,1965,meergezinspand_hoog,2.184
2182GJ,1985,tussenwoning,1.451
2182GM,1998,tussenwoning,1.2
2182LA,1994,tussenwoning,1.2
2182LT,1970,tussenwoning,1.451
2182NN,2014,meergezinspand_hoog,0.938
