bouwjaar,woningtype,epi_imputed,epi_pc6_average
1984,meergezinspand_laag_midden,1.451,1.4509999752044678
2015,tussenwoning,0.938,0.9380000233650208
1968,meergezinspand_hoog,1.451,1.5331956251807835
1968,meergezinspand_hoog,1.451,1.506666640440623
1965,meergezinspand_hoog,2.612,1.8405555453565385
1970,meergezinspand_hoog,2.184,2.1857058931799496
1970,meergezinspand_hoog,2.184,2.1857058931799496
2006,tussenwoning,0.938,0.9380000233650208
1927,tussenwoning,2.612,2.5638888809416027
1927,tussenwoning,2.184,2.5638888809416027
1954,tussenwoning,0.938,0.9380000233650208
2012,meergezinspand_hoog,0.938,0.9380000233650208
1993,tussenwoning,1.2,1.0035000294446945
1995,tussenwoning,1.22,1.1871111359861162
1885,meergezinspand_laag_midden,2.184,2.084000004662408
1930,meergezinspand_hoog,3.237,2.95515998840332
1923,meergezinspand_laag_midden,0.938,1.7981818101622842
1956,meergezinspand_laag_midden,0.938,1.1250000238418578
1970,meergezinspand_hoog,1.44,1.4769423248676152
1923,hoekwoning,2.184,2.3609999895095823
2012,meergezinspand_hoog,0.938,1.0061081277357566
1921,tussenwoning,2.184,2.397375002503395
1921,tussenwoning,2.184,2.397375002503395
1978,meergezinspand_hoog,1.785,1.8313999772071838
1930,tussenwoning,3.237,2.230909087441184
1931,tussenwoning,2.612,2.0830999970436097
1914,hoekwoning,3.237,2.4889999826749167
1952,meergezinspand_laag_midden,1.451,1.6824117478202372
1922,tussenwoning,0.938,0.9380000233650208
1970,meergezinspand_hoog,1.451,2.164249986410141
1966,meergezinspand_hoog,1.15,1.150833323597908
1966,meergezinspand_hoog,1.21,1.1462499797344208
1969,meergezinspand_hoog,1.451,1.5525908903642134
1977,tussenwoning,1.2,1.310333338048723
1977,hoekwoning,1.451,1.3045833508173625
1980,meergezinspand_hoog,1.785,1.705545437335968
1998,hoekwoning,0.938,1.1476000428199769
1970,tussenwoning,1.2,1.486071424824851
1986,meergezinspand_laag_midden,0.938,1.2279375083744526
1926,meergezinspand_laag_midden,3.237,1.9408571379525321
1973,tussenwoning,1.785,1.6179999709129333
1938,tussenwoning,1.2,2.447166661421458
1930,tussenwoning,2.612,2.4416249841451645
1976,tussenwoning,1.451,1.51411997795105
1973,tussenwoning,1.451,1.4973333146837022
2020,meergezinspand_laag_midden,0.938,0.9380000233650208
2003,meergezinspand_hoog,1.2,1.035975030064583
2002,hoekwoning,0.938,1.0130370656649272
2002,tussenwoning,0.938,0.9380000233650208
1974,meergezinspand_hoog,1.2,1.1011818268082358
1962,hoekwoning,1.451,1.7913846098459685
2014,meergezinspand_laag_midden,0.938,0.9380000233650208
2004,meergezinspand_laag_midden,0.938,1.029130466606306
1953,meergezinspand_laag_midden,2.184,2.0785833249489465
1958,tussenwoning,0.938,1.391333321730296
2005,meergezinspand_hoog,1.2,1.167250044643879
2002,hoekwoning,0.938,1.0244166900714238
1921,tussenwoning,3.237,2.5398888720406427
1981,tussenwoning,1.451,1.4509999752044678
1925,vrijstaand,2.612,2.365444435013665
1994,tussenwoning,1.2,1.1126667062441509
1981,meergezinspand_laag_midden,1.2,1.315041681130727
1981,tussenwoning,1.451,1.4611428465162004
1966,tussenwoning,1.785,1.5343999862670898
1982,meergezinspand_laag_midden,1.2,1.561937503516674
2009,meergezinspand_hoog,0.938,0.9928947483238421
1995,meergezinspand_hoog,1.451,1.1005789606194747
1952,hoekwoning,1.785,2.610749989748001
1960,vrijstaand,2.184,2.5267777707841663
2019,tussenwoning,0.938,0.9380000233650208
1974,hoekwoning,1.451,1.4509999752044678
1970,meergezinspand_laag_midden,1.95,1.5411110983954535
1952,hoekwoning,1.785,1.6059130171070928
1969,tussenwoning,1.451,1.4813636107878252
1998,tussenwoning,0.938,1.2091739359109297
1966,meergezinspand_hoog,2.184,1.9445789299513165
1964,meergezinspand_hoog,1.785,1.9332727031274275
1982,tussenwoning,1.2,1.2941250205039978
1996,meergezinspand_hoog,1.2,1.3394444518619113
1972,meergezinspand_hoog,1.451,1.4785475943769728
2005,meergezinspand_hoog,0.938,1.3614999868653037
2003,hoekwoning,0.938,0.9754285982676915
1958,meergezinspand_laag_midden,1.451,1.377791663010915
1958,meergezinspand_laag_midden,1.2,1.377791663010915
1927,meergezinspand_laag_midden,2.184,1.685444434483846
1906,meergezinspand_laag_midden,1.785,1.9721249863505363
1922,meergezinspand_laag_midden,2.184,2.5734999974568686
1959,meergezinspand_hoog,2.184,2.5879090916026724
1956,meergezinspand_laag_midden,2.184,1.8437777625189886
1957,meergezinspand_hoog,2.612,1.8432307518445528
1964,meergezinspand_laag_midden,2.8,2.3756666315926447
1972,meergezinspand_hoog,2.612,2.3923571365220204
1969,meergezinspand_hoog,2.184,2.1999305519792767
1968,tussenwoning,1.2,1.4395908875898882
1925,tussenwoning,2.612,2.5446666479110718
1988,tussenwoning,1.451,1.1594285879816328
1978,meergezinspand_laag_midden,1.2,1.1629565409992053
1982,meergezinspand_laag_midden,1.2,1.3538461648500884
1987,tussenwoning,1.451,1.4509999752044678
1969,tussenwoning,1.451,1.4353124797344208
1962,tussenwoning,1.785,1.5916922826033373
1984,tussenwoning,1.42,1.4239999771118164
1860,meergezinspand_laag_midden,1.2,2.0035454522479665
1920,hoekwoning,3.237,3.1328333218892417
1957,meergezinspand_laag_midden,0.938,2.0820952313286916
1925,tussenwoning,2.612,2.1549999846352472
1974,meergezinspand_hoog,1.2,1.3171333471934001
2018,meergezinspand_laag_midden,0.938,0.9380000233650208
1967,meergezinspand_laag_midden,1.785,1.9428888824250963
1991,tussenwoning,0.938,1.0690000355243683
2019,twee_onder_1_kap,0.938,0.957730790743461
1984,hoekwoning,1.451,1.4509999752044678
1973,tussenwoning,1.451,1.4889285521847861
2019,hoekwoning,0.938,0.9380000233650208
1977,tussenwoning,0.938,1.0406000137329101
1986,hoekwoning,1.451,1.5588888857099745
1955,hoekwoning,1.16,1.0715714309896742
2020,tussenwoning,0.938,0.9380000233650208
1985,tussenwoning,1.2,1.4196249842643738
1989,meergezinspand_laag_midden,1.23,1.2745882377905005
1963,meergezinspand_hoog,2.184,2.3142608766970425
1965,tussenwoning,1.451,1.6435555418332417
1967,tussenwoning,1.451,1.3777142677988325
1960,tussenwoning,2.184,1.6206249967217445
1954,meergezinspand_laag_midden,2.75,2.5318124890327454
1991,tussenwoning,1.451,1.3524138166986663
1974,hoekwoning,1.4,1.4482857244355338
1925,twee_onder_1_kap,1.451,2.125
1960,meergezinspand_laag_midden,1.451,2.1735882127986237
2008,meergezinspand_hoog,0.938,0.9622187726199627
2011,tussenwoning,0.938,0.9380000233650208
1982,vrijstaand,1.451,1.1963333487510681
2011,tussenwoning,0.938,0.948352946954615
2002,hoekwoning,0.938,0.9380000233650208
2003,meergezinspand_hoog,1.45,1.2867619083041237
2003,meergezinspand_hoog,1.38,1.2867619083041237
1886,meergezinspand_laag_midden,1.2,1.2873658683241866
1993,tussenwoning,1.2,1.2156875431537628
1900,meergezinspand_laag_midden,1.451,1.7595333218574525
1964,meergezinspand_laag_midden,1.62,1.88711427961077
1859,meergezinspand_laag_midden,1.451,1.9187692220394428
1890,meergezinspand_hoog,2.184,1.680999994277954
1886,meergezinspand_hoog,1.785,2.18222220076455
2004,meergezinspand_hoog,1.29,1.1711555533938938
1982,meergezinspand_laag_midden,1.451,1.350600004196167
1932,meergezinspand_laag_midden,1.785,1.8817999958992004
2018,tussenwoning,0.938,2.2784347948820693
1952,meergezinspand_hoog,1.785,1.5204999844233196
1950,meergezinspand_hoog,1.91,2.319624980290731
1964,meergezinspand_hoog,2.612,2.3886956546617593
1961,meergezinspand_hoog,1.2,1.7477999925613403
1995,meergezinspand_hoog,1.451,1.3932131050062961
1956,meergezinspand_hoog,1.785,1.6179999709129333
1959,meergezinspand_hoog,1.785,2.0345454812049866
1960,meergezinspand_hoog,1.451,1.6556666592756908
1957,meergezinspand_hoog,1.785,1.8012499809265137
2002,tussenwoning,0.938,0.9816666940848032
1965,meergezinspand_hoog,2.184,1.954499989748001
1974,meergezinspand_hoog,1.2,1.2000000476837158
1982,meergezinspand_laag_midden,1.2,1.346416672070821
1982,meergezinspand_laag_midden,1.2,1.3352222283681234
1982,meergezinspand_laag_midden,1.2,1.3352222283681234
1991,meergezinspand_laag_midden,1.26,1.3165517182185733
1977,meergezinspand_hoog,2.612,1.9272307524314294
1994,tussenwoning,1.2,1.1563333769639332
2013,meergezinspand_hoog,1.2,1.1906429039580482
1911,meergezinspand_laag_midden,1.451,2.0558888647291393
1898,meergezinspand_laag_midden,1.785,2.1141142725944517
1909,meergezinspand_laag_midden,3.237,1.8022438985545461
1913,tussenwoning,3.237,2.002481480439504
1930,hoekwoning,1.451,1.683199977874756
1968,meergezinspand_hoog,1.785,1.4523465479954634
1914,meergezinspand_laag_midden,1.2,1.271666685740153
1988,meergezinspand_laag_midden,1.2,1.0405357437474387
1935,meergezinspand_laag_midden,1.2,2.0740000009536743
1927,meergezinspand_laag_midden,1.451,1.4675999879837036
1919,tussenwoning,2.184,2.2085999965667726
1911,meergezinspand_laag_midden,2.184,2.696733323733012
1909,tussenwoning,1.451,2.1739999771118166
1938,tussenwoning,2.92,2.5707000374794005
1898,meergezinspand_laag_midden,1.785,2.09627272865989
1987,meergezinspand_laag_midden,1.451,1.6066128784610378
1921,meergezinspand_laag_midden,2.184,2.072999988993009
1959,meergezinspand_hoog,1.785,1.9179999828338623
1959,meergezinspand_hoog,2.184,2.001124992966652
1991,meergezinspand_laag_midden,1.451,1.4509999752044678
1960,meergezinspand_hoog,3.52,3.0508333146572113
1965,meergezinspand_hoog,2.184,2.1888333360354104
1910,meergezinspand_laag_midden,2.184,2.0564285687037875
1927,meergezinspand_laag_midden,1.451,1.78373331228892
1925,meergezinspand_laag_midden,1.785,2.1036363406614824
1922,meergezinspand_laag_midden,2.184,2.147384602289933
1994,meergezinspand_laag_midden,1.451,2.0048749893903732
1926,tussenwoning,1.785,2.116499996185303
2020,meergezinspand_laag_midden,0.938,0.9380000233650208
1910,tussenwoning,2.184,2.368727272207087
1981,meergezinspand_hoog,1.48,1.4765293966321384
1933,meergezinspand_laag_midden,1.2,1.9607499887545903
1956,tussenwoning,2.184,2.450874999165535
1982,hoekwoning,1.83,1.8024761903853643
1958,meergezinspand_hoog,2.184,1.6671372652053833
1955,meergezinspand_hoog,1.66,1.8923332939545314
2007,meergezinspand_hoog,0.938,0.9380000233650208
1980,meergezinspand_laag_midden,1.451,1.9279047477812994
2018,meergezinspand_laag_midden,0.938,0.9868039494636012
2018,meergezinspand_laag_midden,0.938,0.9868039494636012
1965,meergezinspand_hoog,1.785,1.8182499706745148
1965,meergezinspand_hoog,1.74,1.7630000054836272
1965,meergezinspand_hoog,1.2,1.5312692064505358
1972,meergezinspand_hoog,1.81,1.8288234893013449
1997,tussenwoning,1.2,1.1563333769639332
2003,meergezinspand_laag_midden,1.21,0.9634285966555277
1968,vrijstaand,2.612,2.0571428537368774
1984,hoekwoning,1.17,1.267380958511716
2006,tussenwoning,0.938,0.9380000233650208
2009,hoekwoning,0.938,0.9380000233650208
1999,tussenwoning,0.938,0.9904000282287597
1977,vrijstaand,1.2,1.2940000125340052
1925,vrijstaand,1.785,2.007999986410141
2013,hoekwoning,0.938,1.2253750190138817
2004,meergezinspand_laag_midden,0.938,0.9960952656609672
1969,meergezinspand_hoog,1.785,1.79105259870228
1975,meergezinspand_laag_midden,1.785,1.8154210291410748
1936,tussenwoning,2.612,2.3691666523615518
1986,meergezinspand_hoog,1.451,1.4509999752044678
1960,hoekwoning,1.785,1.8736666440963745
1960,tussenwoning,1.785,1.8736666440963745
1968,tussenwoning,1.451,1.3756999969482422
1974,meergezinspand_hoog,2.612,2.768249988555908
1972,meergezinspand_hoog,2.184,2.2321333408355715
1972,tussenwoning,1.785,2.303333322207133
1972,meergezinspand_hoog,3.237,2.889777766333686
1975,tussenwoning,1.2,1.3919411687289966
1989,vrijstaand,1.2,1.4520000219345093
1978,tussenwoning,1.451,1.4123846017397368
1979,tussenwoning,1.451,1.472636347467249
1976,meergezinspand_laag_midden,1.451,1.4509999752044678
1998,meergezinspand_laag_midden,0.938,1.161000030381339
2012,meergezinspand_hoog,0.938,0.9440930471863858
2012,meergezinspand_hoog,1,0.9582222298024192
1971,meergezinspand_hoog,1.785,1.784999966621399
1980,meergezinspand_laag_midden,1.2,1.324400007724762
1978,tussenwoning,1.451,1.506666640440623
1978,tussenwoning,1.451,1.4902940918417538
1978,meergezinspand_laag_midden,1.2,1.1992667078971864
1987,tussenwoning,1.2,1.2179286139351981
1988,tussenwoning,1.451,1.4509999752044678
2005,meergezinspand_hoog,1.2,0.9589600253105164
2005,meergezinspand_hoog,1.2,1.1444242849494473
1986,twee_onder_1_kap,1.451,2.0554285730634416
2015,twee_onder_1_kap,0.938,0.9380000233650208
2016,tussenwoning,0.938,0.9380000233650208
2017,tussenwoning,0.938,0.9380000233650208
2019,hoekwoning,0.938,0.9380000233650208
1900,hoekwoning,2.612,1.4307333469390868
1998,meergezinspand_hoog,1.451,1.4357199776172638
1973,tussenwoning,0.938,1.0626363862644543
1975,meergezinspand_hoog,2.184,2.4353636394847524
1986,hoekwoning,1.2,1.342642856495721
1954,meergezinspand_laag_midden,1.451,2.0051110982894897
2019,meergezinspand_laag_midden,0.938,0.9380000233650208
1971,tussenwoning,1.76,1.8824210606123273
2018,meergezinspand_laag_midden,0.938,0.9380000233650208
2011,meergezinspand_hoog,0.938,0.9380000233650208
1985,meergezinspand_laag_midden,2.184,1.4979166785875957
1972,hoekwoning,1.785,1.6846874728798866
1971,meergezinspand_laag_midden,1.451,1.666483840634746
1971,meergezinspand_laag_midden,1.451,1.6716521460077036
1975,tussenwoning,1.77,1.7390416463216145
2010,meergezinspand_hoog,0.938,0.9413529642267164
2010,meergezinspand_hoog,0.938,0.9413529642267164
1970,meergezinspand_hoog,0.938,0.9380000233650208
1971,meergezinspand_hoog,0.938,0.9380000233650208
1968,meergezinspand_hoog,2.612,2.768249988555908
2000,tussenwoning,0.938,0.9944666862487793
1982,meergezinspand_hoog,0.938,1.122785724912371
1980,tussenwoning,1.82,1.7132800006866455
1983,tussenwoning,1.451,1.4509999752044678
2000,meergezinspand_laag_midden,1.01,0.976510652202241
2009,meergezinspand_hoog,0.938,0.9710967944514367
1972,hoekwoning,1.92,1.6992608671602996
2012,meergezinspand_hoog,0.69,0.7318000038464864
1973,meergezinspand_hoog,2.184,2.1027307831324062
1971,hoekwoning,0.938,0.9380000233650208
1981,tussenwoning,1.451,1.445821417229516
2009,meergezinspand_hoog,1.03,1.0368571494306837
1955,twee_onder_1_kap,2.612,2.611999988555908
2010,hoekwoning,0.938,0.9380000233650208
1981,tussenwoning,1.2,1.3877400064468384
1994,vrijstaand,1.2,1.0952000379562379
2003,meergezinspand_hoog,1.34,1.3970571279525756
2003,meergezinspand_hoog,1.33,1.3970571279525756
1964,meergezinspand_laag_midden,2.184,1.7482916663090389
2010,meergezinspand_laag_midden,1.16,1.0661110877990723
2018,meergezinspand_hoog,0.938,0.9380000233650208
1966,hoekwoning,1.451,1.580571418716794
1967,meergezinspand_laag_midden,1.785,2.049785690648215
1999,meergezinspand_hoog,1.451,1.4688191439243072
1992,meergezinspand_laag_midden,1.12,1.2007045529105447
2003,meergezinspand_hoog,0.938,0.7568125035613775
2006,meergezinspand_hoog,0.938,1.2354500144720078
1984,meergezinspand_hoog,1.451,1.4446470351780163
1900,meergezinspand_hoog,1.451,1.388679995536804
1970,meergezinspand_hoog,1.451,1.4357348627822344
1970,meergezinspand_hoog,1.451,1.4357348627822344
1902,meergezinspand_laag_midden,1.451,1.3365555670526292
1923,meergezinspand_hoog,1.785,2.061899983882904
2008,meergezinspand_hoog,0.938,0.9414933570226034
1991,meergezinspand_laag_midden,1.451,1.4509999752044678
1941,meergezinspand_hoog,3.237,2.303599993387858
1941,meergezinspand_hoog,1.785,2.303599993387858
1931,meergezinspand_hoog,1.785,1.587636335329576
1988,meergezinspand_laag_midden,1.2,1.2000000476837158
1983,meergezinspand_hoog,1.451,1.3453650663769434
1983,meergezinspand_hoog,1.451,1.3453650663769434
1893,hoekwoning,1.451,1.220916708310445
1978,meergezinspand_hoog,1.451,1.5345333205329048
1986,meergezinspand_laag_midden,1.45,1.5345333205329048
1930,meergezinspand_hoog,1.47,1.5183333555857341
1927,meergezinspand_laag_midden,3.237,2.502874992787838
1998,meergezinspand_hoog,0.938,1.275913064894469
1993,meergezinspand_laag_midden,1.34,1.3002777927451663
1941,meergezinspand_hoog,1.785,2.4789999828619114
1936,meergezinspand_hoog,3.237,2.0639411631752465
1938,meergezinspand_hoog,2.184,2.3426363576542246
1976,meergezinspand_laag_midden,1.2,1.091488404329433
1952,meergezinspand_laag_midden,1.2,1.3673333326975505
2013,twee_onder_1_kap,0.938,0.9380000233650208
1934,tussenwoning,2.612,2.6648749858140945
1959,meergezinspand_laag_midden,2.612,2.535428558077131
1950,tussenwoning,2.184,2.118749996026357
1938,meergezinspand_laag_midden,2.612,2.509538467113788
1937,meergezinspand_hoog,1.785,1.6720000079699926
1990,tussenwoning,0.938,1.1235833739240964
1966,meergezinspand_hoog,1.2,1.3235774753798901
1981,meergezinspand_laag_midden,1.451,1.3915111051665412
2008,meergezinspand_hoog,0.87,1.0013132475944886
1981,meergezinspand_laag_midden,1.451,1.2999333361784617
1982,meergezinspand_laag_midden,1.56,1.4333165732361155
1981,meergezinspand_laag_midden,1.55,1.4333165732361155
1972,meergezinspand_hoog,1.451,1.5843749791383743
1979,tussenwoning,1.451,1.4635262959881832
1970,meergezinspand_hoog,2.184,2.2203999948501587
1990,meergezinspand_laag_midden,1.451,1.417533318201701
1990,meergezinspand_hoog,0.938,1.1689079231337498
1982,meergezinspand_hoog,1.451,1.431440843048916
1894,meergezinspand_hoog,1.2,1.1563333769639332
1990,meergezinspand_hoog,1.2,1.105642889227186
1901,meergezinspand_hoog,1.17,1.122484842936198
1985,meergezinspand_laag_midden,1.2,1.8781499952077865
1942,meergezinspand_hoog,3.237,2.1684705720228306
1925,meergezinspand_laag_midden,1.785,1.3444047598611741
2009,meergezinspand_hoog,1.2,1.1239411901025211
1925,meergezinspand_hoog,3.237,2.2115652198376865
1927,tussenwoning,0.938,1.7673636349764736
1923,meergezinspand_laag_midden,0.938,1.305666658613417
1991,meergezinspand_laag_midden,1.26,1.2914523453939528
1961,meergezinspand_hoog,1.77,1.6108333319425583
1963,meergezinspand_hoog,2.612,2.6941999912261965
1982,meergezinspand_laag_midden,1.61,1.5473239388264401
1981,meergezinspand_laag_midden,0.938,1.4297980929796512
1980,meergezinspand_laag_midden,1.53,1.4297980929796512
1983,tussenwoning,1.451,1.532545425675132
2020,tussenwoning,0.938,1.2162222398651972
1967,meergezinspand_hoog,1.98,2.000916679700216
1967,meergezinspand_hoog,1.77,1.7283333241939545
1962,meergezinspand_hoog,1.451,1.5170416484276454
1940,meergezinspand_laag_midden,3.237,3.013615369796753
1966,meergezinspand_hoog,2.612,1.6666470695944393
1908,tussenwoning,2.184,2.6513999938964843
1921,meergezinspand_laag_midden,0.938,1.2628958486020565
1991,meergezinspand_laag_midden,1.451,1.4132666786511738
1959,hoekwoning,1.451,1.6456922934605525
1962,meergezinspand_laag_midden,2.612,2.585749989748001
1958,meergezinspand_hoog,1.451,1.5241836504060395
1958,meergezinspand_hoog,1.85,1.7450000047683716
1954,hoekwoning,1.451,1.4791250228881836
1960,meergezinspand_hoog,2.184,2.697642845766885
1955,meergezinspand_hoog,1.451,1.5578499734401703
1955,meergezinspand_hoog,1.451,1.5578499734401703
1955,meergezinspand_hoog,1.785,1.5578499734401703
1976,tussenwoning,1.451,1.4094399857521056
1880,hoekwoning,3.237,1.4596154047892644
1995,meergezinspand_laag_midden,1.2,1.3510833462079366
1921,tussenwoning,1.785,1.8708333124717076
1921,tussenwoning,1.785,1.8708333124717076
1931,meergezinspand_hoog,1.785,1.9857499798138936
2018,tussenwoning,0.938,0.9380000233650208
1957,meergezinspand_hoog,2.184,2.2294500052928923
2007,meergezinspand_hoog,0.938,1.1941000357270242
1986,tussenwoning,1.451,1.383222222328186
2005,meergezinspand_hoog,0.938,0.9558228080785727
1926,meergezinspand_laag_midden,1.785,2.171947347490411
1989,meergezinspand_laag_midden,1.2,1.0589231115121107
1935,meergezinspand_laag_midden,2.184,2.106785697596414
1960,meergezinspand_hoog,1.45,1.3856000232696533
1960,meergezinspand_hoog,1.27,1.1796666582425435
1960,meergezinspand_hoog,1.27,1.1796666582425435
1930,tussenwoning,2.184,2.3270999908447267
1970,meergezinspand_laag_midden,2.612,2.349727282740853
2020,meergezinspand_laag_midden,0.938,0.9380000233650208
1965,meergezinspand_hoog,0.938,0.9380000233650208
1971,meergezinspand_hoog,3.237,3.236999988555908
2017,tussenwoning,0.938,0.9380000233650208
1978,tussenwoning,1.36,1.4002500027418137
1994,hoekwoning,0.938,1.0690000355243683
2008,twee_onder_1_kap,0.938,0.9380000233650208
2000,meergezinspand_laag_midden,1.88,1.9349493580528452
1964,meergezinspand_laag_midden,1.451,2.141599988937378
1972,meergezinspand_hoog,1.48,1.5469374731183052
2006,meergezinspand_laag_midden,0.938,0.9380000233650208
1961,twee_onder_1_kap,1.785,1.6513999700546265
1961,meergezinspand_laag_midden,1.451,1.8903499841690063
1983,meergezinspand_hoog,0.938,0.9489166910449663
1959,tussenwoning,1.785,1.784999966621399
2005,hoekwoning,1.2,1.6444285767418998
1958,tussenwoning,2.184,1.537263180080213
1978,meergezinspand_laag_midden,1.8,1.7060740788777669
1980,tussenwoning,1.451,1.5869999925295513
2012,tussenwoning,0.938,1.1986000120639801
1964,meergezinspand_hoog,2.25,1.985027020042007
1980,hoekwoning,1.785,1.3452272631905295
1983,tussenwoning,1.451,1.4509999752044678
1981,tussenwoning,1.451,1.4655217139617256
1985,tussenwoning,1.451,1.4360356969492776
1982,meergezinspand_laag_midden,1.451,1.4360356969492776
1981,meergezinspand_laag_midden,1.35,1.3123041246969676
1981,meergezinspand_laag_midden,1.785,1.3343125134706497
1993,tussenwoning,1.2,1.2000000476837158
1985,tussenwoning,1.451,1.244294152540319
1951,tussenwoning,2.184,2.0823333263397217
2003,meergezinspand_hoog,0.938,1.1411667035685644
2002,vrijstaand,0.938,1.174722241030799
1986,hoekwoning,1.451,1.460599994659424
1989,tussenwoning,0.938,1.310333338048723
1995,meergezinspand_hoog,1.87,1.6927096651446434
1995,meergezinspand_hoog,1.79,1.6730555494626362
1982,meergezinspand_laag_midden,1.53,1.440833330154419
1910,twee_onder_1_kap,1.451,2.0638333327240415
1973,tussenwoning,1.451,1.6350999772548676
1973,hoekwoning,2.15,2.038833349943161
1966,vrijstaand,1.785,1.7703749984502792
2001,meergezinspand_laag_midden,1.27,1.1850131946174722
1971,tussenwoning,1.785,1.6929230690002441
1974,vrijstaand,1.785,1.642124965786934
1966,tussenwoning,1.2,1.2160000205039978
2017,meergezinspand_laag_midden,0.281,0.2809999883174896
1959,hoekwoning,1.85,2.062181830406189
1921,vrijstaand,0.938,2.2739999890327454
1970,tussenwoning,0.938,0.9380000233650208
1970,hoekwoning,0.938,0.9380000233650208
1985,tussenwoning,1.451,1.3672941221910364
1959,meergezinspand_laag_midden,0.938,1.0882500201463698
1991,tussenwoning,1.451,1.3135909194296056
1979,meergezinspand_laag_midden,1.451,1.3858194334639444
1963,tussenwoning,2.184,1.7514285785811288
2001,meergezinspand_hoog,1.451,1.220916708310445
1995,tussenwoning,1.2,1.2184615731239319
1932,tussenwoning,3.237,1.4463108012805115
1777,hoekwoning,2.184,1.5135000212626024
1932,meergezinspand_laag_midden,2.612,2.507999986410141
1953,hoekwoning,1.36,1.9242000102996826
1913,meergezinspand_laag_midden,1.451,2.485239987373352
1983,meergezinspand_laag_midden,1.451,1.4007916475335758
1974,meergezinspand_hoog,2.184,2.548428569521223
1963,meergezinspand_hoog,1.451,1.4323888719081879
1973,meergezinspand_hoog,2.184,2.1710526441272937
1967,meergezinspand_laag_midden,1.2,1.2200000335772831
1979,meergezinspand_laag_midden,1.451,1.3260285820279802
1980,tussenwoning,1.2,1.4886666536331177
1973,meergezinspand_laag_midden,1.2,1.345409089868719
1925,tussenwoning,2.184,2.3980000019073486
1960,meergezinspand_hoog,3.237,3.136193536943005
1967,tussenwoning,1.451,1.5869999925295513
1997,tussenwoning,1.2,1.1563333769639332
1981,tussenwoning,1.48,1.4502000053723654
1969,meergezinspand_hoog,0.938,0.9380000233650208
1954,hoekwoning,2.184,2.002230772605309
1908,vrijstaand,2.612,1.9228333234786987
1983,twee_onder_1_kap,1.451,1.4030833194653194
1983,meergezinspand_laag_midden,1.785,1.684649329680901
1965,meergezinspand_hoog,2.184,2.237500011920929
1961,meergezinspand_laag_midden,2.184,1.772071429661342
1982,meergezinspand_hoog,1.8,1.8001281878887079
1957,tussenwoning,1.451,1.36594118791468
1994,tussenwoning,1.2,1.1563333769639332
